style,songName,調性,Ynote
江南風格-民歌・江蘇,蘇州景,C,A508A508A508G508A502A508C608A508G508G508E504D508E502E58.G516A508C608G508A508E508G508G508C504D508E508E516G516D508C508C508A404G408A402E508E508E516D516C508D502E508G508D508C508A408C508G408A408C508C504D508C502E508G508A508C608G508A508E508G508G508C504D508E508G508D508C508A408A404G408A44.G508A508A5080008G508C608C6080008G508A502
江南風格-民歌・江蘇,a九里山前（二）-蘇州,C,A508C608A508G508A508G508A504G508C608A508G508G508E504D508E502E508E504C608A508G508E508D508C516D516E516G516E516D516C508C508A404G408A402E516C58.D504G508E504D508G508E508D516E516C516D516A408C508G408A408C508C504D508C502G508G504C608A508G508E508D508C516D516E516G516E516D516C508C508A404G408A4020002
江南風格-民歌・江蘇,a孟姜女（四）-蘇州,C,G608A508C608D608E616G616E616D616E616D616E608E616G616A616C716A616E616G616A632E632G616E616D64.C716A616A616G616G6S.A632E616D616C616A516C616D616E616D616E608G616E616D616C616A516G516C616D616G502E616E608G616C604D616E616C616D616E616D616E608G616E616E616G616C616D616E616G616C608A504E616D616C608G616E616D68.C616G516E516G516A516C608G616E616D616G632E632D616C616A516G516C616D616G502
江南風格-民歌・江蘇,a孟姜女（五）-蘇州,C,C616A516C604D608E616G616E616D616E604E616G616A616C716A616E616G616E616D602C716A616A616G616G616A616E616D616C616A516C616D616E68.G616G616E616D616C616A516G516A516C616G502A516C616G516A516C604D616E632D632C616D616E604G608E616D616C6S.D632E616G616D616B516A54.C608G616E616D608C616A516G516E516G516A516C68.E616D616E616D616C616A516G516C616A516G502
江南風格-民歌・江蘇,a茉莉花（一）-六合縣,C,E516D516E516G516A516G516C616A516G516E516G504A508C608D616E616D616C616A516C616G502G516E516G504A508C608D616E616C616A516G508G508D508E516G516E516D516C516A416C54.E516D516C508D58.E516G508A516C616A508G508G516E516D508E516G516E516D516C516D516A404C508D58.E516C516D516C516A416C516A416G44.E516D516C508D58.E516G508A516C616A508G508G516E516D508E516G516E516D516C516D516A404C508D68.E616C616D616C616A516G516A516C616E616D616C616A516C616G5020002
江南風格-民歌・江蘇,a鮮花調（二）-蘇州,C,E508G508A508D608C616A516G504C616A516G516E516G504E508D504D504E5S.G532A516C616A516G516E516D516C516A416C504D508C516A416C504G508E508G504E516G516C68.A516A516G516E508G508D508E58.G516C502E516E532G532C508D58.E516G516A516C608A508G516E516D516E516G516A516E516G516E516D516C516A416C504A416C516D68.E616C6S.D632B516A516G516A516C608D616C616A532G532A516C616A516G54.E508G508A508D608C616A516G504C616A516G516E516G504E508D504D504E5S.G532A516C616A516G516E516D516C516A416C504D508C516A416C504G508E508G504E516G516C68.A516A516G516E508G508D508E58.G516C502E516E532G532C508D58.E516D608C608C616A516G508D516E516G516A516E516G516E516D516C516A416C504A516C616D68.E616C6S.D632B516A516G516A516C608D616C616A532G532A516G502
江南風格-民歌・江蘇,a鮮花調（四）（武鮮花）-蘇州,C,E508E516G516A516G516C632D632C616C616A516G54.E508E516G516A516G516C632D632C616C616A516G54.E508G54.D68.C616C616A532G532E508G508D508G516G532A532E516G516C502G58.C616A5S.G532E508A508G508D504C616C608E616D616A516C608C616A516G54.E508E516G516A516G516C632D632C616C616A516G54.E508E516G516A516G516C632D632C616C616A516G54.C608G54.D68.C616C616A532G532E508G508D508E508E516G516C502C608A508A516G516G516E516C58.E516D504E516G508E516D516A416C508C502
江南風格-民歌・江蘇,a蘇州景（侉侉調）-蘇州,C,G616E616E616D616A508E608D616C616A508G508E508C616D616E616G616D616C616A508C602E608C604D608E6S.G632E616D616E604G616E616E616D616C616D616E616G616D616C616A532C632D616G504C616A532C632A516G516E504G616A516C604D608D616C616A532C632D616G504A516A532C632A516G516G508E508E516D516E516G516A516G516A516C616A516E516G516A532G532D504G508G516G516G508D508A516A532G532E516G516C504
江南風格-民歌・江蘇,a姑蘇風光（大九連環）【疊斷橋】-蘇州,C,A504A508B508A58.G516E508G508A508A508A508D616B516A502D608C616D616E608D616E616C604D608B508A508A504B508A516A508G516F516G516E508G502C608D608D616C616A508G54.A508G516E516G54.D608D616C616E608D608C616A516C604A508D608D616C616E608D608C604D608B508B516D616A504B508A516A508G516F516G516E508G54.G516A516E58.D516C508A416C516D502G58.A516C608D608D616C616A516G516E504G508G516E516G508G516E516D58.E516G508A508E58.D516C504
江南風格-民歌・江蘇,a姑蘇風光（大九連環）【六花六節】-蘇州,C,D608E616D616C604D608E616D616C608A516G516E58.D516E508G508A516G516A54.C608D616E616D616A516C608G54.A508G516E516G54.E58.D516C508A416C516D516C516D54.G58.A516C608D608A5S.C632A516G516E504G516G508A516E508E516D516C504D504G516G508A516E508E516D516C504D504E508E508E508G508A508A516D616C616C608E516G54.A508E58.D516C508A416C516D502G58.A516C608C616D616A516C616A516G516E504D508E508D508C508A416C516A44.D68.E616C608D608A58.G516E504D508E508D508C508D604D616C616A516C616G5020002
